asn1crypto|1.5.1|False|asn1crypto|7.9%|Fast ASN.1 parser and serializer with definitions for private keys, public keys, certificates, CRL, OCSP, CMS, PKCS#3, PKCS#7, PKCS#8, PKCS#12, PKCS#5, X.509 and TSP|42619841
platformdirs|2.5.2|True|platformdirs|97%|A small Python module for determining appropriate platform-specific dirs, e.g. a "user data dir".|42354855
aiosignal|1.2.0|True|aiosignal|100%|aiosignal: a list of registered asynchronous callbacks|42307899
tqdm|4.64.1|False|tqdm|10.5%|Fast, Extensible Progress Meter|41954443
tabulate|0.9.0|False|tabulate|55.6%|Pretty-print tabular data|41147417
pyrsistent|0.18.1|True|pyrsistent|79.8%|Persistent/Functional/Immutable data structures|39383668
openpyxl|3.0.10|False|openpyxl|8.8%|A Python library to read/write Excel 2010 xlsx/xlsm files|38897451
itsdangerous|2.1.2|True|itsdangerous|89.6%|Safely pass data to untrusted environments and back.|36150164
virtualenv|20.16.5|False|virtualenv|14.7%|Virtual Python Environment builder|34559279
future|0.18.2|False|future|44.5%|Clean single-source support for Python 3 and 2|34086215
future|0.18.2|False|libfuturize|36.7%|Clean single-source support for Python 3 and 2|34086215
future|0.18.2|False|libpasteurize|45.3%|Clean single-source support for Python 3 and 2|34086215
future|0.18.2|False|past|5.1%|Clean single-source support for Python 3 and 2|34086215
iniconfig|1.1.1|True|iniconfig|100%|iniconfig: brain-dead simple config-ini parsing|33898496
pydantic|1.9.2|True|pydantic|81.3%|Data validation and settings management using python type hints|33445871
pygments|2.13.0|False|pygments|25.9%|Pygments is a syntax highlighting package written in Python.|32540843
toml|0.10.2|False|toml|0%|Python Library for Tom's Obvious, Minimal Language|32185481
pymysql|1.0.2|False|pymysql|34.4%|Pure Python MySQL Driver|31712750
deprecated|1.2.13|False|deprecated|14.3%|Python @deprecated decorator to deprecate old python classes, functions or methods.|31072026
httplib2|0.20.4|False|httplib2|26.8%|A comprehensive HTTP client library.|30831881
bcrypt|4.0.1|True|bcrypt|85.7%|Modern password hashing for your software and your servers|30655371
distlib|0.3.6|False|distlib|16.8%|Distribution utilities|30314196
paramiko|2.11.0|False|paramiko|21.4%|SSH2 protocol library|29639686
py4j|0.10.9.5|False|py4j|15%|Enables Python programs to dynamically access arbitrary Java objects|29628340
docker|5.0.3|False|docker|18.6%|A Python library for the Docker Engine API.|29361013
cloudpickle|2.2.0|False|cloudpickle|45.7%|Extended pickling support for Python objects|28786415
coverage|6.5.0|False|coverage|17.2%|Code coverage measurement for Python|28462079
matplotlib|3.6.1|False|matplotlib|7%|Python plotting package|28042309
matplotlib|3.6.1|False|mpl_toolkits|5.7%|Python plotting package|28042309
smmap|5.0.0|False|smmap|5.2%|A pure Python implementation of a sliding window memory map manager|27843538
redis|4.3.4|False|redis|28.1%|Python client for Redis database and key-value store|27410225
gitdb|4.0.9|False|gitdb|8.6%|Git Object Database|27386415
