package|version|typed|module|score|stubs|description
chardet|5.0.0|False|chardet|44.4%|types-chardet|Universal encoding detector for Python 3|48441563
yarl|1.8.1|True|yarl|100%|None|Yet another URL library|47335528
multidict|6.0.2|True|multidict|100%|None|multidict implementation|47097711
pyOpenSSL|22.1.0|False|OpenSSL|79.2%|types-pyOpenSSL|Python wrapper module around the OpenSSL library|47009548
greenlet|1.1.3.post0|False|greenlet|1.8%|None|Lightweight in-process concurrent programming|46984564
msrest|0.7.1|True|msrest|28.4%|None|AutoRest swagger generator Python client runtime.|46670376
tomli|2.0.1|True|tomli|100%|None|A lil' TOML parser|45849325
jsonschema|4.16.0|False|jsonschema|9.1%|types-jsonschema|An implementation of JSON Schema validation for Python|45659143
soupsieve|2.3.2.post1|True|soupsieve|61.7%|None|A modern CSS selector implementation for Beautiful Soup.|44770008
filelock|3.8.0|True|filelock|80%|types-filelock|A platform independent file lock.|44390162
py|1.11.0|True|py|97.9%|None|library with cross-python path, ini-parsing, io, code, log facilities|44132497
scipy|1.9.3|False|scipy|7.7%|None|Fundamental algorithms for scientific computing in Python|43833433
frozenlist|1.3.1|True|frozenlist|90.5%|None|A list-like structure which implements collections.abc.MutableSequence|43769282
beautifulsoup4|4.11.1|False|bs4|8.3%|types-beautifulsoup4|Screen-scraping library|43446219
